,content_id,post_uri,like_count,quote_count,reply_count,repost_count,post_created_at,text,tags,embedded_link_title,embedded_link_description,embedded_link_uri,author_username,author_displayname,author_account_created_at
1233,bafyreieicrvljibslvira7hpyuysbnz3ye4rcxtjo5pg2ttchvdwbnrrxe,at://did:plc:yf6hctt2ug3qyfty4in64yob/app.bsky.feed.post/3kbvh3tp66r2b,1,0,0,0,2023-10-16 20:29:33.599000+00:00,"Sen. Chuck Schumer laid out an aggressive schedule for delivering aid and resources to Israel, which include military, intelligence, diplomatic and humanitarian support.

He said the Senate will not wait for the House to devise its own plan, as the lower chamber remains without a permanent speaker.",,Chuck Schumer lays out aggressive schedule for Israel aid post-trip,Schumer said the Senate will not wait for the House to devise its own plan.,https://www.politico.com/live-updates/2023/10/16/congress/schumer-israel-aid-senate-house-00121804,politico.com,Politico,2023-04-28 22:40:12.228000+00:00
1234,bafyreif7cm6x7425kgz2n6gjh2jl7cksgajfzfnklgth2ijgnqssfgpkpa,at://did:plc:yf6hctt2ug3qyfty4in64yob/app.bsky.feed.post/3kbvg342xrh2b,2,0,0,1,2023-10-16 20:11:15.077000+00:00,Former U.S. Ambassador Jon Huntsman slammed the University of Pennsylvania’s response to the Israel and Hamas conflict and pledged to stop giving money to the institution where he and his family have been prominent donors.,,Former U.S. Ambassador Jon Huntsman to cease donations to UPenn over school’s response to Hamas at...,"“To the outsider, it appears that Penn has become deeply adrift in ways that make it almost unrecognizable,” Huntsman wrote.",https://www.politico.com/news/2023/10/16/upenn-jon-huntsman-00121752,politico.com,Politico,2023-04-28 22:40:12.228000+00:00
1235,bafyreib7c6wnxrvgqveilbnd6wawljfgpf52gsimxpezw4sqh6g4xaysre,at://did:plc:yf6hctt2ug3qyfty4in64yob/app.bsky.feed.post/3kbvf6rolbb26,1,1,0,0,2023-10-16 19:55:24.696000+00:00,"Update: Donald Trump vowed to appeal the gag order, calling it ""so unconstitutional.""",,Judge imposes gag order on Donald Trump in D.C. trial,Judge Tanya Chutkan said Trump's “presidential candidacy does not give him carte blanche to vilify … public servants who are simply doing their job.”,https://www.politico.com/news/2023/10/16/judge-imposes-gag-order-on-donald-trump-in-d-c-trial-00121743,politico.com,Politico,2023-04-28 22:40:12.228000+00:00
1236,bafyreigs3awwmxyfa276bssxvz6kpjjksfgusedjkukmxb2g7s5tqi4sua,at://did:plc:yf6hctt2ug3qyfty4in64yob/app.bsky.feed.post/3kbveg46kt527,5,1,0,2,2023-10-16 19:41:36.846000+00:00,"Analysis: “Russia is not going to disappear as a major challenge” even if it's defeated in Ukraine, writes Thomas Graham, a Council on Foreign Relations fellow and former George W. Bush staffer.

“It’s time to prepare for what comes next.”",,Russia Will Survive a Defeat in Ukraine. It’s Time to Prepare for What Comes Next.,We need to figure out how to harness its power to American purposes in the global arena.,https://www.politico.com/news/magazine/2023/10/15/thomas-graham-russia-ukraine-00121247,politico.com,Politico,2023-04-28 22:40:12.228000+00:00
1237,bafyreienu3efameosdx4yexvonosgp43otwhi44ntalw23nc7jsg3z3244,at://did:plc:yf6hctt2ug3qyfty4in64yob/app.bsky.feed.post/3kbvbr3hsho25,6,1,0,3,2023-10-16 18:54:03.972000+00:00,Tim Scott’s super PAC is canceling most of its remaining TV spending — the latest sign of how dire the primary has become for a candidate who is now polling in low single digits and hasn’t yet qualified for the third debate.,,Scott’s super PAC cancels TV ad reservations as campaign sputters,The super PAC supporting Tim Scott’s presidential campaign said Monday it will cancel “all of our Fall media inventory.”,https://www.politico.com/news/2023/10/16/scott-super-pac-cancels-tv-ad-reservations-00121745,politico.com,Politico,2023-04-28 22:40:12.228000+00:00
1238,bafyreicvyrvvgt3bxblspqapcpca7z6kauqdjdhcbw3p3d6edui2ln6gpa,at://did:plc:yf6hctt2ug3qyfty4in64yob/app.bsky.feed.post/3kbv6jl2aiy2k,21,27,11,5,2023-10-16 17:56:10.568000+00:00,"Even some of the Republicans who have vowed, publicly and privately, to fight Rep. Jim Jordan at every turn are beginning to get weak knees about supporting him, fearing that collective will is dwindling as their numbers decrease.",,"Jordan's wall of opposition starts to crumble, with 24 hours before speaker vote","Two previous ""hard no"" GOP lawmakers are now publicly endorsing the conservative Ohioan, with others signaling that they're softening.",https://www.politico.com/live-updates/2023/10/16/congress/jordan-gains-critical-traction-00121758,politico.com,Politico,2023-04-28 22:40:12.228000+00:00
1239,bafyreicmptrgnm65zs2du7iy2giujapm2q567objuossqsdbafwlgtxafi,at://did:plc:yf6hctt2ug3qyfty4in64yob/app.bsky.feed.post/3kbv242rrbi2q,12,3,1,6,2023-10-16 16:37:02.411000+00:00,"A federal judge imposed a gag order on Donald Trump, barring him from attacking witnesses, prosecutors and court staff involved in his Washington, D.C. criminal case.",,Judge imposes gag order on Donald Trump in D.C. trial,"Federal judge says Trump's ""presidential candidacy does not give him carte blanche to vilify … public servants who are simply doing their job.”",https://www.politico.com/news/2023/10/16/judge-imposes-gag-order-on-donald-trump-in-d-c-trial-00121743,politico.com,Politico,2023-04-28 22:40:12.228000+00:00
1240,bafyreif7dzjmgfgrq5j3rk32xjdd3zq7zomkddbjn6m4pz5of2u3q4pbvy,at://did:plc:yf6hctt2ug3qyfty4in64yob/app.bsky.feed.post/3kbuzhstco52m,2,0,1,2,2023-10-16 16:25:42.988000+00:00,A gag order would immediately raise two questions that could define Donald Trump’s bid to retake the White House: Is he capable of abiding by a court-ordered restriction on his speech? And what is Judge Chutkan prepared to do if he isn’t?,,Trump faces reckoning as D.C. judge mulls gag order,"At a court hearing Monday, a judge will consider special counsel Jack Smith's demand that Trump be formally ordered to stop attacking potential witnesses against him.",https://www.politico.com/news/2023/10/16/trump-gag-order-hearing-00121626,politico.com,Politico,2023-04-28 22:40:12.228000+00:00
1241,bafyreialp7rebek2hbuxi3dyerqhcxwkjedq4swscsx3hyn2lx57gg7ujq,at://did:plc:yf6hctt2ug3qyfty4in64yob/app.bsky.feed.post/3kbuz6atiev2r,3,1,0,0,2023-10-16 16:20:22.125000+00:00,"President Biden said he was “shocked and sickened” by the killing of a 6-year-old Muslim boy in Illinois by a 71-year-old man who targeted the victim and his mother for their faith, according to police.

The DOJ is investigating the death as a federal hate crime.",,'Shocked and sickened’: Biden condemns killing of 6-year-old Muslim boy,"“This horrific act of hate has no place in America,"" Biden said.",https://www.politico.com/news/2023/10/16/illinois-boy-killed-biden-00121695,politico.com,Politico,2023-04-28 22:40:12.228000+00:00
1242,bafyreihljgrx46xzphegl6kswuclkyvf4lsl7fhhrw6omdm2fhuwu3t74u,at://did:plc:yf6hctt2ug3qyfty4in64yob/app.bsky.feed.post/3kbnwjjq7md2m,7,3,0,6,2023-10-13 20:44:21.123000+00:00,Secretary of State Antony Blinken warned a small group of lawmakers last week that Azerbaijan could soon invade Armenia.,,Blinken warned lawmakers Azerbaijan may invade Armenia in coming weeks,He also said State isn't planning to renew a long-standing waiver that allows the U.S. to provide military assistance to Baku.,https://www.politico.com/news/2023/10/13/blinken-warned-lawmakers-azerbaijan-may-invade-armenia-in-coming-weeks-00121500,politico.com,Politico,2023-04-28 22:40:12.228000+00:00
1243,bafyreic3vgj27lphktxvor5beqpavr7vbsyvmrkwdyzbycbhy7l2xpglte,at://did:plc:yf6hctt2ug3qyfty4in64yob/app.bsky.feed.post/3kbnsqhehsb2h,91,3,2,19,2023-10-13 19:36:38.525000+00:00,"Ukrainian pilots are expected to begin training to fly the F-16 fighter jet in Arizona next week, per four U.S. officials.",,Ukrainian pilots expected to start F-16 training in Arizona next week,News comes after Washington announced it will lead a coalition of countries training Ukrainian pilots.,https://www.politico.com/news/2023/10/13/ukrainian-pilots-expected-to-start-f-16-training-in-arizona-next-week-00121460,politico.com,Politico,2023-04-28 22:40:12.228000+00:00
1244,bafyreichi3zcwp7kpflt4hewjjauhdrarcpvqkz67xp3423kaqd4cdl2eu,at://did:plc:yf6hctt2ug3qyfty4in64yob/app.bsky.feed.post/3kbnnpot6rj2y,2,0,1,2,2023-10-13 18:06:44.098000+00:00,"Israel’s ground invasion of Gaza is “imminent,” two Israeli officials said, confirming that the much-anticipated operation will happen in the coming hours or days.",,"Ground invasion of Gaza ‘imminent,’ Israeli officials say",The operation was expected following Hamas’ brutal terrorist attack and has been seen as likely after Israel ordered an evacuation of northern Gaza.,https://www.politico.com/news/2023/10/13/gaza-ground-invasion-israel-00121452,politico.com,Politico,2023-04-28 22:40:12.228000+00:00
1245,bafyreiactaaefsaawrok3prwfbcwvcxpzi3ofnkcy3p2mvqwi5tjvmdukm,at://did:plc:yf6hctt2ug3qyfty4in64yob/app.bsky.feed.post/3kbnmtydxrj2c,22,0,1,9,2023-10-13 17:51:14.549000+00:00,"Top progressives are asking President Biden to push Israel to follow international law and for the U.S. to help establish a humanitarian corridor .

Their demands come as Israel has ordered more than 1 million Palestinians in northern Gaza to move south, something the U.N. said isn’t feasible.",,Progressive lawmakers write Biden to express deep concern over Israel’s coming Gaza campaign,A letter from dozens of members lays out five specific requests of the president over the war in Israel.,https://www.politico.com/news/2023/10/13/progressive-lawmakers-letter-biden-israel-00121463,politico.com,Politico,2023-04-28 22:40:12.228000+00:00
1246,bafyreigm7fljgkn3g4br45rv5kdp3ayfwkf4fvbo224qva25h54fdsphw4,at://did:plc:yf6hctt2ug3qyfty4in64yob/app.bsky.feed.post/3kbnm66tnes2p,10,0,0,2,2023-10-13 17:39:03.179000+00:00,"Russia appears to have launched a “renewed offensive” against Ukrainian troops in the eastern part of the country, but haven’t made much progress, National Security Council spokesperson John Kirby said, adding that the new attacks are “not a surprise.”",,"Russia launched 'renewed offensive' against Ukraine, Kirby says","He also warned of an ""expanding"" military partnership between Russia and North Korea.",https://www.politico.com/news/2023/10/13/russia-ukraine-war-00121464,politico.com,Politico,2023-04-28 22:40:12.228000+00:00
